Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
Difficulties in stooling,Fever,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Hunger,Headache,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Headache,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Headache,Rose spots,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,Swollen testicles,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Rashes,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Rose spots,Seizures,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Rose spots,Seizures,Critical,Diabetes
Painful Urination,Fever,Swollen genitals,Rashes,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Fever,Abdominal Pain,Rose spots,Disorientation,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Blurred Vision,Rashes,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Headache,Rashes,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Rashes,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Headache,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Muscle Aches,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Headache,Rose spots,Seizures,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Seizures,Critical,Diabetes
Frequent Urination,Fever,Headache,Rashes,Seizures,Critical,Diabetes
Frequent Urination,Hunger,Headache,Rose spots,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Muscle Aches,Rashes,Seizures,Critical,cancer
Frequent Urination,Fever,Blurred Vision,Rashes,Disorientation,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Fever,Muscle Aches,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Tired,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Blurred Vision,Rose spots,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Headache,Swollen testicles,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,Rose spots,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Blurred Vision,Rose spots,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Headache,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cancer
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Fever,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rose spots,Confusion,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Headache,Rose spots,Confusion,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Muscle Aches,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Tired,Headache,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Frequent Infection,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Fever,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Muscle Aches,Rashes,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Hunger,Swollen genitals,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,Rashes,Seizures,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Painful Urination,Hunger,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Abdominal Pain,Rashes,Seizures,Critical,cancer
Painful Urination,Tired,Headache,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Abdominal Pain,Rashes,Disorientation,Critical,cancer
Painful Urination,Fever,Blurred Vision,Rashes,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Abdominal Pain,Swollen testicles,Seizures,Critical,cancer
Frequent Urination,Tired,Blurred Vision,Swollen testicles,Confusion,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,Seizures,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Rashes,Disorientation,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Rose spots,Confusion,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,Seizures,Critical,cardiovascular_disease
Painful Urination,Hunger,Blurred Vision,Rose spots,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,Rashes,Seizures,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Painful Urination,Hunger,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Tired,Headache,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Frequent Infection,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Headache,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Tired,Abdominal Pain,Bloody diarrhea,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,Swollen testicles,Confusion,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Rashes,Confusion,Critical,cancer
Painful Urination,Tired,Abdominal Pain,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
